ID,Name,Equipment,BodyPart,Target,Synergist,URL
3680,Kettlebell Overhand Grip Swing (female),Kettlebell,Hips,"Deltoid Anterior, Gluteus Maximus, Hamstrings","Biceps Brachii, Deltoid Lateral, Gastrocnemius, Pectoralis Major Clavicular Head, Quadriceps, Serratus Anterior, Soleus",https://www.gymvisual.com/illustrations/8062-kettlebell-overhand-grip-swing-female.html
3681,Dumbbell Squeeze Bench Press,Dumbbell,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii",Deltoid Anterior,https://www.gymvisual.com/illustrations/8143-dumbbell-squeeze-bench-press.html
3682,Dumbbell Incline Alternate Bicep Curl,Dumbbell,Upper Arms,"Biceps Brachii, Brachialis",Brachioradialis,https://www.gymvisual.com/illustrations/8144-dumbbell-incline-alternate-bicep-curl.html
3683,Dumbbell Gobelt Curtsey Lunge,Dumbbell,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gluteus Medius, Gracilis, Pectineous, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/8145-dumbbell-gobelt-curtsey-lunge.html
3684,Dumbbell External Rotation,Dumbbell,Back,"Teres Major, Teres Minor ",Deltoid Posterior,https://www.gymvisual.com/illustrations/8146-dumbbell-external-rotation.html
3685,Dumbbell Chest Supported Lateral Raises,Dumbbell,Shoulders,Deltoid Posterior ,"Deltoid Lateral, Serratus Anterior, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/8147-dumbbell-chest-supported-lateral-raises.html
3686,Dumbbell Kneeling Hold to Stand,Dumbbell,"Hips, Shoulders, Thighs","Deltoid Anterior, Gluteus Maximus, Quadriceps","Adductor Magnus, Deltoid Lateral, Serratus Anterior, Soleus, Triceps Brachii",https://www.gymvisual.com/illustrations/8148-dumbbell-kneeling-hold-to-stand.html
3687,Dumbbell Drag Bicep Curl,Dumbbell,"Shoulders, Upper Arms","Biceps Brachii, Deltoid Anterior","Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/8149-dumbbell-drag-bicep-curl.html
3688,Dumbbell Seated Reverse Grip Biceps Curl,Dumbbell,Forearms,Brachioradialis,"Biceps Brachii, Brachialis",https://www.gymvisual.com/illustrations/8150-dumbbell-seated-reverse-grip-biceps-curl.html
3689,Dumbbell Seated One Arm Front Raise,Dumbbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",https://www.gymvisual.com/illustrations/8151-dumbbell-seated-one-arm-front-raise.html
3690,Dumbbell Seated on Exercise Ball Shoulder Press,Dumbbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8152-dumbbell-seated-on-exercise-ball-shoulder-press.html
3691,Dumbbell Goblet Split Squat,Dumbbell,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8153-dumbbell-goblet-split-squat.html
3692,Dumbbell Goblet Box Squat,Dumbbell,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8154-dumbbell-goblet-box-squat.html
3693,Dumbbell Bench Supported External Rotation,Dumbbell,Back,"Teres Major, Teres Minor ",Deltoid Posterior,https://www.gymvisual.com/illustrations/8156-dumbbell-bench-supported-external-rotation.html
3694,Dumbbell Incline Alternate Reverse Fly,Dumbbell,Shoulders,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/8157-dumbbell-incline-alternate-reverse-fly.html
3695,Dumbbell Alternate Bench Press (high start),Dumbbell,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Posterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8158-dumbbell-alternate-bench-press-high-start.html
3696,Dumbbell Bent Over Alternate Rear Delt Fly,Dumbbell,Shoulders,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/8159-dumbbell-bent-over-alternate-rear-delt-fly.html
3697,Cable Kneeling Rear Delt Row (with rope) (male),Cable,Shoulders,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/8090-cable-kneeling-rear-delt-row-with-rope-male.html
3698,Inchworm (VERSION 2),Body weight,Waist,"Iliopsoas, Obliques, Pectoralis Major Clavicular Head, Rectus Abdominis","Adductor Magnus, Deltoid Anterior, Deltoid Lateral, Gluteus Maximus, Hamstrings, Quadriceps, Serratus Anterior, Trapezius Lower Fibers, Trapezius Middle Fibers, Trapezius Upper Fibers",https://www.gymvisual.com/illustrations/8515-inchworm-version-2.html
3699,Shoulder Tap,Body weight,"Chest, Waist","Obliques, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Rectus Abdominis","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8517-shoulder-tap.html
3700,Tuck Jump (VERSION 2),Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/8525-tuck-jump-version-2.html
3701,High Knee Sprints,Body weight,Cardio,,,https://www.gymvisual.com/illustrations/8526-high-knee-sprints.html
3702,Forward Pulse Lunge with Hands Overhead,Body weight,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8527-forward-pulse-lunge-with-hands-overhead.html
3703,Frogger,Body weight,Waist,"Gluteus Maximus, Gluteus Medius, Iliopsoas, Quadriceps, Rectus Abdominis","Gastrocnemius, Hamstrings, Soleus, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/8528-frogger.html
3704,Double Jump Squat,Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/8529-double-jump-squat.html
3705,Squat Thrust,Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/8530-squat-thrust.html
3706,Squat Tuck Jump,Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/8531-squat-tuck-jump.html
3707,Dumbbell Press Squat,Dumbbell,"Chest, Hips, Thighs","Gluteus Maximus, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Quadriceps","Adductor Magnus, Deltoid Anterior, Deltoid Lateral, Soleus, Triceps Brachii",https://www.gymvisual.com/illustrations/8532-dumbbell-press-squat.html
3708,Cardio Lunge,Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/8533-cardio-lunge.html
3709,Dumbbell Overhead Squat,Dumbbell,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8534-dumbbell-overhead-squat.html
3710,Dumbbell Split Squat Front Foot Elevanted with Bosu Ball (female),Dumbbell,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8535-dumbbell-split-squat-front-foot-elevanted-with-bosu-ball-female.html
3711,Single Leg Step Up (female),Body weight,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8536-single-leg-step-up-female.html
3712,Standing Single Leg Calf Raise with Support (female),Body weight,Calves,Gastrocnemius,Soleus,https://www.gymvisual.com/illustrations/8537-standing-single-leg-calf-raise-with-support-female.html
3713,Dumbbell Standing Single Leg Calf Raise,Dumbbell,Calves,Gastrocnemius,Soleus,https://www.gymvisual.com/illustrations/8538-dumbbell-standing-single-leg-calf-raise.html
3714,Single Leg Stand,Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/8539-single-leg-stand.html
3715,Single Leg Stand on Bosu Ball,"Body weight, Bosu ball",Plyometrics,,,https://www.gymvisual.com/illustrations/8540-single-leg-stand-on-bosu-ball.html
3716,Split Squat with Roll,Body weight,"Hips, Thighs","Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8541-split-squat-with-roll.html
3718,Split Lateral Squat with Roll,Body weight,"Hips, Thighs","Adductor Brevis, Adductor Longus, Adductor Magnus, Gluteus Medius, Gluteus Minimus, Gracilis, Pectineous, Quadriceps","Hamstrings, Iliopsoas, Quadriceps, Sartorius, Soleus",https://www.gymvisual.com/illustrations/8542-split-lateral-squat-with-roll.html
3719,Cable Standing High Cross Triceps Extension,Cable,Upper Arms,Triceps Brachii,,https://www.gymvisual.com/illustrations/8524-cable-standing-high-cross-triceps-extension.html
3720,Stair Jump,Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/8543-stair-jump.html
3721,Barbell Bent Over Wide Grip Row,Barbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/8563-barbell-bent-over-wide-grip-row.html
3722,Barbell Incline Lying Rear Delt Raise,Barbell,Shoulders,Deltoid Anterior,"Brachialis, Brachioradialis, Deltoid Lateral, Deltoid Posterior, Pectoralis Major Clavicular Head",https://www.gymvisual.com/illustrations/8564-barbell-incline-lying-rear-delt-raise.html
3723,Barbell Curtsey Lunge,Barbell,"Hips, Thighs","Gluteus Maximus, Gluteus Medius, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Gracilis, Hamstrings, Pectineous, Sartorius, Soleus",https://www.gymvisual.com/illustrations/8565-barbell-curtsey-lunge.html
3724,Barbell Floor Chest Press,Barbell,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8566-barbell-floor-chest-press.html
3725,Barbell Overhead Lunge,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8567-barbell-overhead-lunge.html
3726,Barbell Seated Front Raise,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",https://www.gymvisual.com/illustrations/8568-barbell-seated-front-raise.html
3727,Barbell Front Bench Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8569-barbell-front-bench-squat.html
3728,Barbell Front Step Up,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8570-barbell-front-step-up.html
3729,Barbell Chest Press on Stability Ball,"Barbell, Stability ball",Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8571-barbell-chest-press-on-stability-ball.html
3730,Barbell Behind The Back Shrug,Barbell,Back,Trapezius Upper Fibers ,Levator Scapulae,https://www.gymvisual.com/illustrations/8572-barbell-behind-the-back-shrug.html
3731,Barbell Sumo Romanian Deadlift,Barbell,Hips,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus",https://www.gymvisual.com/illustrations/8573-barbell-sumo-romanian-deadlift.html
3732,Kettlebell Gobelt Curtsey Lunge,Kettlebell,Thighs,"Gluteus Maximus, Gluteus Medius, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Gracilis, Hamstrings, Pectineous, Soleus",https://www.gymvisual.com/illustrations/8574-kettlebell-gobelt-curtsey-lunge.html
3733,Kettlebell Straight leg Deadlift,Kettlebell,Hips,"Erector Spinae, Gluteus Maximus","Hamstrings, Soleus",https://www.gymvisual.com/illustrations/8575-kettlebell-straight-leg-deadlift.html
3734,Kettlebell Kickstand One Leg Deadlift,Kettlebell,"Hips, Thighs","Erector Spinae, Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Hamstrings, Soleus",https://www.gymvisual.com/illustrations/8576-kettlebell-kickstand-one-leg-deadlift.html
3735,Kettlebell Pullover 3 Month Position,Kettlebell,Back,Latissimus Dorsi,"Deltoid Posterior, Pectoralis Major Sternal Head, Serratus Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8577-kettlebell-pullover-3-month-position.html
3736,Kettlebell Standing Bottoms Up One Arm Shoulder Press,Kettlebell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8578-kettlebell-standing-bottoms-up-one-arm-shoulder-press.html
3737,Kettlebell Seated One Arm Military Press,Kettlebell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8579-kettlebell-seated-one-arm-military-press.html
3738,Kettlebell One Arm Bench Press,Kettlebell,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8580-kettlebell-one-arm-bench-press.html
3739,Kettlebell Bottom Up One Arm Bench Press,Kettlebell,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8581-kettlebell-bottom-up-one-arm-bench-press.html
3740,Kettlebell Lateral Raise,Kettlebell,Shoulders,Deltoid Lateral,"Deltoid Anterior, Serratus Anterior",https://www.gymvisual.com/illustrations/8582-kettlebell-lateral-raise.html
3741,Lateral Raise with Towel,Body weight,Shoulders,Deltoid Lateral,"Deltoid Anterior, Serratus Anterior",https://www.gymvisual.com/illustrations/8584-lateral-raise-with-towel.html
3742,Sliding Leg Curl on Floor with Towel,Body weight,Thighs,"Gluteus Maximus, Hamstrings","Gastrocnemius, Soleus",https://www.gymvisual.com/illustrations/8585-sliding-leg-curl-on-floor-with-towel.html
3743,Bulgarian Split Squat with Chair,Body weight,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8586-bulgarian-split-squat-with-chair.html
3744,Rear Delt Fly with Bed Sheet,Body weight,Shoulders,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/8591-rear-delt-fly-with-bed-sheet.html
3745,Overhead Triceps Extension with Bed Sheet,Body weight,Upper Arms,Triceps Brachii,,https://www.gymvisual.com/illustrations/8592-overhead-triceps-extension-with-bed-sheet.html
3746,Rear Delt Row with Bed Sheet,Body weight,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/8593-rear-delt-row-with-bed-sheet.html
3747,Assisted Pistol Squat with Bed Sheet,Body weight,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/8594-assisted-pistol-squat-with-bed-sheet.html
3748,Biceps Curl with Bed Sheet,Body weight,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/8595-biceps-curl-with-bed-sheet.html
3749,Inverted Row with Bed Sheet,Body weight,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/8596-inverted-row-with-bed-sheet.html
3750,Front Plank Side Hop,Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/8630-front-plank-side-hop.html
3751,Reverse Push-up,Body weight,Upper Arms,Triceps Brachii,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://www.gymvisual.com/illustrations/8631-reverse-push-up.html
3752,Lying Double Legs Biceps Curl with Towel,Body weight,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/8632-lying-double-legs-biceps-curl-with-towel.html
3753,Lever Seated Crunch (chest pad) (female),Leverage machine,Waist,Rectus Abdominis,Obliques,https://www.gymvisual.com/illustrations/8639-lever-seated-crunch-chest-pad-female.html
3754,Cable Close-Grip Front Lat Pulldown (female),Cable,Back,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/8640-cable-close-grip-front-lat-pulldown-female.html
3755,Dumbbell Rear Delt Row (female),Dumbbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/8641-dumbbell-rear-delt-row-female.html
3756,Dumbbell Behind Back Finger Curl (female),Dumbbell,Forearms,,,https://www.gymvisual.com/illustrations/8642-dumbbell-behind-back-finger-curl-female.html
3757,Band high fly (male),Band,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Biceps Brachii, Deltoid Anterior",https://www.gymvisual.com/illustrations/8643-band-high-fly-male.html
3758,Lever Standing Chest Press,Leverage machine,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/8675-lever-standing-chest-press.html
3759,Lever Seated Good Morning,Leverage machine,Hips,"Erector Spinae, Gluteus Maximus",,https://www.gymvisual.com/illustrations/8676-lever-seated-good-morning.html
3760,Lever Seated Crunch (VERSION 2),Leverage machine,Waist,Rectus Abdominis,Obliques,https://www.gymvisual.com/illustrations/8677-lever-seated-crunch-version-2.html
3761,Dumbbell Seated Alternate Biceps Curl (female),Dumbbell,Upper Arms,,,https://www.gymvisual.com/illustrations/8700-dumbbell-seated-alternate-biceps-curl-female.html
3762,Dumbbell Preacher Curl over Exercise Ball (female),Dumbbell,Upper Arms,,,https://www.gymvisual.com/illustrations/8701-dumbbell-preacher-curl-over-exercise-ball-female.html
3763,Dumbbell One Arm Zottman Preacher Curl (female),Dumbbell,Upper Arms,,,https://www.gymvisual.com/illustrations/8702-dumbbell-one-arm-zottman-preacher-curl-female.html
3764,Dumbbell Incline Biceps Curl (female),Dumbbell,Upper Arms,,,https://www.gymvisual.com/illustrations/8703-dumbbell-incline-biceps-curl-female.html
